,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10692,487,LIM2958,PoweredAK442HUNLJ36S,36.158686,-86.783211,152.6463913892893,,,
10693,487,LIM2998,PoweredKLOVJ6OJ2OBTO,36.158834,-86.784029,222.8639789212963,,,
10694,4429,LIM3002,PoweredJNRAFIE3HI4RY,,,,36.16586,-86.781748,149.48419618536354
10695,4188,LIM3007,PoweredAQOV5LQZI2MGV,36.161146,-86.77363,243.13499491111241,,,
10696,4592,LIM3246,PoweredEL6C64ISVQT6R,,,,36.138732,-86.800747,35.25306672721725
10700,487,LIM3262,PoweredITR2YOJ3T7SLF,,,,36.158238,-86.783964,132.3776850560125
10701,487,LIM3279,PoweredT5WNK3VW22PMB,36.158153,-86.783254,115.60441605301844,,,
10702,4188,LIM3285,PoweredFWPAEAQMQWV7V,,,,36.161935,-86.774381,188.49505802864527
10703,487,LIM3345,PoweredKLOVJ6OJ2OBTO,,,,36.158416,-86.783776,70.80672329788167
10704,4418,LIM1689,PoweredFKJK22ET5UGXW,,,,36.166049,-86.782092,190.23498517474658
10707,4596,LIM3429,PoweredHP25WXKYBLQ7P,36.157327,-86.78423,182.23241739496763,,,
10708,487,LIM3490,PoweredD4KX6ZOEIQ3WG,,,,36.158397,-86.783791,73.7093097256084
10709,487,LIM3487,PoweredKGVLCJ3EW5NOA,,,,36.158647,-86.78397,162.2101704576303
10710,4188,LIM3526,Powered3PEHX6PRBK7LX,,,,36.161681,-86.774315,168.75367805295537
10711,487,LIM3622,PoweredBSQTT3QJMOGWG,36.158174,-86.784004,152.69700415173958,,,
10712,4596,LIM3701,PoweredUZDR57OV6F4JS,,,,36.157869,-86.784223,142.92123702045618
10713,487,LIM3739,PoweredDI5QDAU4OEJM7,36.158045,-86.782903,222.4221930520853,,,
10714,487,LIM3728,PoweredOYVFGGGRLEZL6,,,,36.158603,-86.783721,101.07608279244953
10715,487,LIM3805,PoweredBSQTT3QJMOGWG,,,,36.158063,-86.783837,140.3958415063624
10716,4188,LIM3921,PoweredMBYRGTFM2QXWI,36.161285,-86.773589,196.0190445556779,,,
10717,125,LIM3970,PoweredVRS5UZSU5WKXQ,36.144308,-86.799886,13.99685115725637,,,
10718,4616,LIM3966,PoweredVCPDGMUMTUXOC,,,,36.168638,-86.787502,228.66480103534983
10719,4188,LIM4164,PoweredRN5JXVGKH63FK,36.161321,-86.773761,176.0383501286429,,,
10720,4188,LIM4206,PoweredRN5JXVGKH63FK,,,,36.161344,-86.77366,170.36621290076454
10721,4188,LIM4226,PoweredMOZL2LYROG3SU,36.161802,-86.774163,117.94616404391724,,,
10722,4188,LIM4299,PoweredMRUFC527Y3DZY,,,,36.16183,-86.77422,135.11314784392889
10723,4188,LIM1462,PoweredCC7Z4AWWQVMMK,36.162379,-86.774101,232.78244706026325,,,
10724,4592,LIM4518,PoweredEL6C64ISVQT6R,,,,36.138732,-86.800747,35.25306672721725
